Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
203,1,2.98612238203423,0,20.7507538860282,0,0,0,0,0,27.3665309664256,0,0,125.31993283675,0.00230349066814677,0,0,0,0,51.6968998328722
204,1,2.95462818609999,0,20.6410495880588,0,0,0,0,0,27.1950142266484,0,0,124.783526567067,0.00207314160133209,0,0,0,0,51.4181049905489
205,1,2.9240743908855,0,20.5329444817445,0,0,0,0,0,27.026794884256,0,0,124.252581399386,0.00186582744119888,0,0,0,0,51.1441773023119
206,1,2.8944240479226,0,20.4264185521226,0,0,0,0,0,26.8618152029145,0,0,123.727008771204,0.00167924469707899,0,0,0,0,50.8749540761989
207,1,2.86564197395333,0,20.3214518363741,0,0,0,0,0,26.7000180265636,0,0,123.20673591445,0.00151132022737109,0,0,0,0,50.6102860093491
208,1,2.83769467539487,0,20.2180245224496,0,0,0,0,0,26.5413467302706,0,0,122.691705028521,0.00136018820463398,0,0,0,0,50.3500365839378
209,1,2.81055027193093,0,20.1161170070014,0,0,0,0,0,26.3857451525755,0,0,122.181872147795,0.00122416938417059,0,0,0,0,50.0940813199046
210,1,2.78417841910744,0,20.0157099141795,0,0,0,0,0,26.2331575085598,0,0,121.677205747704,0.00110175244575353,0,0,0,0,49.8423069081725
211,1,2.75855022992648,0,19.9167840776933,0,0,0,0,0,26.0835282840886,0,0,121.177685134273,0.000991577201178175,0,0,0,0,49.5946102478127
212,1,2.73363819578774,0,19.8193204911432,0,0,0,0,0,25.9368021151275,0,0,120.68329867341,0.000892419481060357,0,0,0,0,49.3508974145801
213,1,2.70941610764401,0,19.7233002354467,0,0,0,0,0,25.7929236610284,0,0,120.194041935206,0.000803177532954321,0,0,0,0,49.1110825952277
214,1,2.68585897883947,0,19.6287043966705,0,0,0,0,0,25.6518374865139,0,0,119.709915851684,0.000722859779658889,0,0,0,0,48.8750870307112
215,1,2.66294297156434,0,19.5355139910146,0,0,0,0,0,25.513487971554,0,0,119.230925003584,0.000650573801693,0,0,0,0,48.6428380176427
