Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
249,1,1.61300615692905,0,13.6131835961672,0,0,0,0,0,18.5016614239182,0,0,97.6521809784858,1.80943043679135e-05,0,0,0,0,39.7133265610898
250,1,1.60446307482374,0,13.5615736880038,0,0,0,0,0,18.4284309539926,0,0,97.3051078750494,1.62848739311222e-05,0,0,0,0,39.5637034070335
251,1,1.59610835767855,0,13.5107090019748,0,0,0,0,0,18.3563611131989,0,0,96.9628487638598,1.465638653801e-05,0,0,0,0,39.4164477343965
252,1,1.58793651076723,0,13.4605779444086,0,0,0,0,0,18.2854286877238,0,0,96.6253345042471,1.3190747884209e-05,0,0,0,0,39.2715138096192
253,1,1.57994221492196,0,13.4111691015608,0,0,0,0,0,18.2156112564385,0,0,96.2924956299443,1.18716730957881e-05,0,0,0,0,39.1288563566884
254,1,1.57212032123288,0,13.362471235926,0,0,0,0,0,18.1468871471742,0,0,95.9642625555526,1.06845057862093e-05,0,0,0,0,38.9884306367433
255,1,1.564465845903,0,13.3144732817555,0,0,0,0,0,18.0792353928196,0,0,95.6405657615306,9.61605520758833e-06,0,0,0,0,38.8501925184976
256,1,1.55697396526149,0,13.2671643400985,0,0,0,0,0,18.0126356878762,0,0,95.3213359593507,8.6544496868295e-06,0,0,0,0,38.7140985399934
257,1,1.54964001094013,0,13.2205336736705,0,0,0,0,0,17.9470683460506,0,0,95.0065042386075,7.78900471814655e-06,0,0,0,0,38.5801059622959
258,1,1.54245946521599,0,13.1745707018083,0,0,0,0,0,17.8825142593881,0,0,94.6960021978141,7.01010424633189e-06,0,0,0,0,38.4481728157476
259,1,1.53542795652108,0,13.1292649957214,0,0,0,0,0,17.8189548593559,0,0,94.3897620604723,6.3090938216987e-06,0,0,0,0,38.3182579393724
260,1,1.52854125511653,0,13.0846062741993,0,0,0,0,0,17.7563720801925,0,0,94.0877167778451,5.67818443952883e-06,0,0,0,0,38.1903210139823
261,1,1.52179526892706,0,13.0405843998904,0,0,0,0,0,17.694748324762,0,0,93.7898001197017,5.11036599557595e-06,0,0,0,0,38.0643225894978
262,1,1.51518603952912,0,12.9971893762269,0,0,0,0,0,17.6340664330695,0,0,93.4959467541591,4.59932939601836e-06,0,0,0,0,37.9402241069552
263,1,1.50870973828438,0,12.9544113450326,0,0,0,0,0,17.5743096535289,0,0,93.2060923175854,4.13939645641652e-06,0,0,0,0,37.8179879156269
264,1,1.50236266260848,0,12.9122405848144,0,0,0,0,0,17.5154616170013,0,0,92.9201734753645,3.72545681077487e-06,0,0,0,0,37.6975772856282
265,1,1.49614123236272,0,12.8706675097022,0,0,0,0,0,17.4575063135588,0,0,92.6381279741229,3.35291112969738e-06,0,0,0,0,37.5789564163152
266,1,1.49004198635436,0,12.8296826689626,0,0,0,0,0,17.4004280718586,0,0,92.3598946858091,3.01762001672764e-06,0,0,0,0,37.4620904407019
267,1,1.48406157892896,0,12.7892767469812,0,0,0,0,0,17.3442115409547,0,0,92.0854136437981,2.71585801505488e-06,0,0,0,0,37.3469454260433
268,1,1.47819677663668,0,12.7494405635771,0,0,0,0,0,17.2888416743192,0,0,91.8146260710111,2.44427221354939e-06,0,0,0,0,37.2334883706626
269,1,1.47244445495439,0,12.7101650745,0,0,0,0,0,17.2343037158174,0,0,91.5474743999329,2.19984499219445e-06,0,0,0,0,37.1216871970595
270,1,1.46680159504678,0,12.6714413719635,0,0,0,0,0,17.1805831873696,0,0,91.283902284428,1.97986049297501e-06,0,0,0,0,37.011510741344
271,1,1.46126528055341,0,12.6332606850863,0,0,0,0,0,17.1276658780543,0,0,91.0238546033725,1.78187444367751e-06,0,0,0,0,36.9029287390893
272,1,1.45583269439233,0,12.5956143801416,0,0,0,0,0,17.0755378344341,0,0,90.7672774562981,1.60368699930976e-06,0,0,0,0,36.7959118077664
273,1,1.45050111557562,0,12.5584939605473,0,0,0,0,0,17.0241853519242,0,0,90.5141181514414,1.44331829937878e-06,0,0,0,0,36.6904314260014
274,1,1.44526791603621,0,12.5218910665591,0,0,0,0,0,16.973594967061,0,0,90.2643251867712,1.2989864694409e-06,0,0,0,0,36.586459909966
275,1,1.44013055746843,0,12.4857974746559,0,0,0,0,0,16.9237534505573,0,0,90.0178482247198,1.16908782249681e-06,0,0,0,0,36.4839703872696
276,1,1.43508658818805,0,12.4502050966267,0,0,0,0,0,16.8746478010617,0,0,89.7746380614483,1.05217904024713e-06,0,0,0,0,36.38293676876
277,1,1.43013364001887,0,12.4151059783856,0,0,0,0,0,16.8262652395568,0,0,89.534646591543,9.46961136222418e-07,0,0,0,0,36.2833337186607
278,1,1.42526942521444,0,12.3804922985512,0,0,0,0,0,16.7785932043463,0,0,89.2978267690689,8.52265022600176e-07,0,0,0,0,36.1851366234821
279,1,1.42049173342424,0,12.3463563668324,0,0,0,0,0,16.7316193465933,0,0,89.0641325659041,7.67038520340158e-07,0,0,0,0,36.0883215601353
280,1,1.41579842871369,0,12.3126906222692,0,0,0,0,0,16.6853315263776,0,0,88.8335189282581,6.90334668306143e-07,0,0,0,0,35.9928652636655
281,1,1.41118744664728,0,12.2794876313754,0,0,0,0,0,16.6397178092446,0,0,88.6059417322312,6.21301201475528e-07,0,0,0,0,35.8987450949965
282,1,1.40665679144361,0,12.2467400862299,0,0,0,0,0,16.5947664632215,0,0,88.3813577392106,5.59171081327976e-07,0,0,0,0,35.8059390090493
283,1,1.40220453321029,0,12.214440802558,0,0,0,0,0,16.5504659562722,0,0,88.1597245518216,5.03253973195178e-07,0,0,0,0,35.7144255235596
284,1,1.39782880526539,0,12.1825827178404,0,0,0,0,0,16.5068049541623,0,0,87.9410005710533,4.5292857587566e-07,0,0,0,0,35.6241836888751
285,1,1.39352780155075,0,12.1511588894748,0,0,0,0,0,16.4637723186954,0,0,87.7251449550716,4.07635718288094e-07,0,0,0,0,35.5351930589626
286,1,1.38929977414092,0,12.120162493008,0,0,0,0,0,16.4213571062757,0,0,87.5121175801062,3.66872146459285e-07,0,0,0,0,35.4474336638031
287,1,1.38514303084951,0,12.0895868204444,0,0,0,0,0,16.3795485667413,0,0,87.3018790036771,3.30184931813356e-07,0,0,0,0,35.3608859832942
288,1,1.38105593293335,0,12.0594252786261,0,0,0,0,0,16.3383361424053,0,0,87.0943904303097,2.97166438632021e-07,0,0,0,0,35.2755309227309
289,1,1.37703689289349,0,12.029671387672,0,0,0,0,0,16.2977094672368,0,0,86.8896136797895,2.67449794768819e-07,0,0,0,0,35.1913497898897
290,1,1.37308437237085,0,12.0003187794603,0,0,0,0,0,16.2576583661128,0,0,86.687511157932,2.40704815291937e-07,0,0,0,0,35.1083242737076
291,1,1.36919688013392,0,11.971361196133,0,0,0,0,0,16.2181728540733,0,0,86.4880458297896,2.16634333762743e-07,0,0,0,0,35.0264364245192
